Дата;Печь;Время старта;Время завершения;Номер программы выпечки;Номер духовки;Количество духовок;Длительность
2024-10-31;Печь 3;2024-10-31 13:15:46;2024-10-31 13:21:44;5;1;1;0 days 00:05:58
2024-11-01;Печь 2;2024-11-01 07:35:32;2024-11-01 07:41:51;5;1;2;0 days 00:06:19
2024-11-01;Печь 1;2024-11-01 14:08:38;2024-11-01 14:14:57;5;1;2;0 days 00:06:19
2024-11-01;Печь 3;2024-11-01 16:34:47;2024-11-01 16:40:46;5;1;1;0 days 00:05:59
2024-10-31;Печь 1;2024-10-31 07:56:41;2024-10-31 08:02:10;5;2;2;0 days 00:05:29
2024-10-31;Печь 2;2024-10-31 09:19:43;2024-10-31 09:25:52;5;2;2;0 days 00:06:09
2024-10-31;Печь 2;2024-10-31 10:37:57;2024-10-31 10:44:16;5;2;2;0 days 00:06:19
2024-10-31;Печь 2;2024-10-31 13:56:27;2024-10-31 14:02:26;5;2;2;0 days 00:05:59
2024-10-31;Печь 2;2024-10-31 14:43:02;2024-10-31 14:48:41;5;2;2;0 days 00:05:39
2024-10-31;Печь 2;2024-10-31 15:49:24;2024-10-31 15:54:33;5;2;2;0 days 00:05:09
2024-10-31;Печь 2;2024-10-31 18:26:36;2024-10-31 18:31:25;5;2;2;0 days 00:04:49
2024-11-01;Печь 1;2024-11-01 07:51:16;2024-11-01 07:57:15;5;2;2;0 days 00:05:59
2024-11-01;Печь 2;2024-11-01 09:39:23;2024-11-01 09:45:22;5;2;2;0 days 00:05:59
2024-11-01;Печь 2;2024-11-01 11:30:27;2024-11-01 11:35:56;5;2;2;0 days 00:05:29
2024-11-01;Печь 2;2024-11-01 13:51:11;2024-11-01 13:57:20;5;2;2;0 days 00:06:09
2024-11-01;Печь 2;2024-11-01 14:35:17;2024-11-01 14:40:46;5;2;2;0 days 00:05:29
2024-11-01;Печь 2;2024-11-01 14:57:31;2024-11-01 15:03:20;5;2;2;0 days 00:05:49
2024-11-01;Печь 2;2024-11-01 15:07:17;2024-11-01 15:12:36;5;2;2;0 days 00:05:19
2024-11-01;Печь 2;2024-11-01 15:41:50;2024-11-01 15:47:29;5;2;2;0 days 00:05:39
2024-11-01;Печь 2;2024-11-01 15:54:20;2024-11-01 15:59:49;5;2;2;0 days 00:05:29
2024-11-01;Печь 1;2024-11-01 17:14:54;2024-11-01 17:19:03;5;2;2;0 days 00:04:09
2024-11-01;Печь 2;2024-11-01 18:27:49;2024-11-01 18:32:38;5;2;2;0 days 00:04:49
